行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,11704,48654,13252,73610,1198,74808,0,74808,147964,222772,33.58
金城鎮,,3614,15798,4206,23618,372,23990,0,23990,46428,70418,34.07
,東門里,506,2168,602,3276,48,3324,0,3324,6042,9366,35.49
,西門里,868,4528,1186,6582,104,6686,0,6686,11832,18518,36.11
,南門里,608,2374,568,3550,46,3596,0,3596,6592,10188,35.3
,北門里,452,1784,474,2710,34,2744,0,2744,5436,8180,33.55
,古城里,340,1456,296,2092,32,2124,0,2124,4600,6724,31.59
,金水里,220,796,198,1214,40,1254,0,1254,2550,3804,32.97
,珠沙里,206,1048,286,1540,32,1572,0,1572,3760,5332,29.48
,賢庵里,414,1644,596,2654,36,2690,0,2690,5616,8306,32.39
,總計,3614,15798,4206,23618,372,23990,0,23990,46428,70418,34.07
金沙鎮,,1652,7720,1614,10986,200,11186,0,11186,23078,34264,32.65
,汶沙里,470,2236,526,3232,46,3278,0,3278,6428,9706,33.77
,三山里,138,786,170,1094,10,1104,0,1104,2434,3538,31.2
,大洋里,110,490,102,702,24,726,0,726,1406,2132,34.05
,光前里,214,982,232,1428,38,1466,0,1466,2720,4186,35.02
,何斗里,204,798,178,1180,16,1196,0,1196,2440,3636,32.89
,西園里,146,590,100,836,18,854,0,854,2016,2870,29.76
,官嶼里,138,948,108,1194,20,1214,0,1214,2796,4010,30.27
,浦山里,232,890,198,1320,28,1348,0,1348,2838,4186,32.2
,總計,1652,7720,1614,10986,200,11186,0,11186,23078,34264,32.65
金湖鎮,,2714,10628,3032,16374,212,16586,0,16586,31066,47652,34.81
,新市里,498,2162,612,3272,38,3310,0,3310,5294,8604,38.47
,山外里,404,1396,428,2228,22,2250,0,2250,4012,6262,35.93
,正義里,230,1030,272,1532,34,1566,0,1566,3058,4624,33.87
,料羅里,214,770,166,1150,6,1156,0,1156,2264,3420,33.8
,瓊林里,278,1302,378,1958,32,1990,0,1990,3764,5754,34.58
,新湖里,832,2684,954,4470,40,4510,0,4510,8680,13190,34.19
,溪湖里,142,602,108,852,24,876,0,876,1898,2774,31.58
,蓮庵里,116,682,114,912,16,928,0,928,2096,3024,30.69
,總計,2714,10628,3032,16374,212,16586,0,16586,31066,47652,34.81
金寧鄉,,2800,9820,3626,16246,300,16546,0,16546,31366,47912,34.53
,古寧村,224,1250,232,1706,24,1730,0,1730,4322,6052,28.59
,安美村,428,1752,464,2644,66,2710,0,2710,5320,8030,33.75
,后盤村,130,564,96,790,18,808,0,808,1926,2734,29.55
,湖埔村,626,2226,584,3436,50,3486,0,3486,6600,10086,34.56
,榜林村,452,1800,526,2778,54,2832,0,2832,6286,9118,31.06
,盤山村,940,2228,1724,4892,88,4980,0,4980,6912,11892,41.88
,總計,2800,9820,3626,16246,300,16546,0,16546,31366,47912,34.53
烈嶼鄉,,914,4560,750,6224,112,6336,0,6336,15176,21512,29.45
,上岐村,208,1192,196,1596,32,1628,0,1628,3564,5192,31.36
,上林村,118,548,48,714,6,720,0,720,1874,2594,27.76
,西口村,142,824,166,1132,24,1156,0,1156,3324,4480,25.8
,林湖村,354,1370,232,1956,38,1994,0,1994,4374,6368,31.31
,黃埔村,92,626,108,826,12,838,0,838,2040,2878,29.12
,總計,914,4560,750,6224,112,6336,0,6336,15176,21512,29.45
烏坵鄉,,10,128,24,162,2,164,0,164,850,1014,16.17
,大坵村,6,76,16,98,2,100,0,100,384,484,20.66
,小坵村,4,52,8,64,0,64,0,64,466,530,12.08
,總計,10,128,24,162,2,164,0,164,850,1014,16.17
